S,delta,batch_size,freq_warmup,sin_warmup,epoch,dsName,currepoch,loss
10,0.03,180,10,10,10,smtp,6,0.012562054
10,0.03,180,10,10,10,smtp,7,0.013170414
10,0.03,180,10,10,10,smtp,8,0.011449699
10,0.03,180,10,10,10,smtp,9,0.00998504
10,0.03,180,10,10,15,smtp,0,0.12564082
10,0.03,180,10,10,15,smtp,1,0.062193092
10,0.03,180,10,10,15,smtp,2,0.044808585
10,0.03,180,10,10,15,smtp,3,0.034143753
10,0.03,180,10,10,15,smtp,4,0.027110113
10,0.03,180,10,10,15,smtp,5,0.01958046
10,0.03,180,10,10,15,smtp,6,0.01310299
10,0.03,180,10,10,15,smtp,7,0.010225718
10,0.03,180,10,10,15,smtp,8,0.007778876
10,0.03,180,10,10,15,smtp,9,0.009253744
10,0.06,180,10,10,5,smtp,0,0.16085702
10,0.06,180,10,10,5,smtp,1,0.044723634
10,0.06,180,10,10,5,smtp,2,0.04768198
10,0.06,180,10,10,5,smtp,3,0.04706579
10,0.06,180,10,10,5,smtp,4,0.04247209
10,0.06,180,10,10,5,smtp,5,0.04641994
10,0.06,180,10,10,5,smtp,6,0.043548197
10,0.06,180,10,10,5,smtp,7,0.04208241
10,0.06,180,10,10,5,smtp,8,0.043121707
10,0.06,180,10,10,5,smtp,9,0.038714837
10,0.06,180,10,10,10,smtp,0,0.12563749
10,0.06,180,10,10,10,smtp,1,0.0425888
10,0.06,180,10,10,10,smtp,2,0.046020813
10,0.06,180,10,10,10,smtp,3,0.04590933
10,0.06,180,10,10,10,smtp,4,0.041841913
10,0.06,180,10,10,10,smtp,5,0.04249493
10,0.06,180,10,10,10,smtp,6,0.042315114
10,0.06,180,10,10,10,smtp,7,0.041436143
10,0.06,180,10,10,10,smtp,8,0.041874025
10,0.06,180,10,10,10,smtp,9,0.04140166
10,0.06,180,10,10,15,smtp,0,0.18062674
10,0.06,180,10,10,15,smtp,1,0.11445776
10,0.06,180,10,10,15,smtp,2,0.05627351
10,0.06,180,10,10,15,smtp,3,0.039319236
10,0.06,180,10,10,15,smtp,4,0.033763334
10,0.06,180,10,10,15,smtp,5,0.028178426
10,0.06,180,10,10,15,smtp,6,0.023245413
10,0.06,180,10,10,15,smtp,7,0.019090766
10,0.06,180,10,10,15,smtp,8,0.01506076
10,0.06,180,10,10,15,smtp,9,0.01161073
10,0.07,180,10,10,5,smtp,0,0.097254574
10,0.07,180,10,10,5,smtp,1,0.07113297
10,0.07,180,10,10,5,smtp,2,0.05712822
10,0.07,180,10,10,5,smtp,3,0.054104324
10,0.07,180,10,10,5,smtp,4,0.050159365
10,0.07,180,10,10,5,smtp,5,0.046476625
10,0.07,180,10,10,5,smtp,6,0.046850212
10,0.07,180,10,10,5,smtp,7,0.044741705
10,0.07,180,10,10,5,smtp,8,0.03869944
10,0.07,180,10,10,5,smtp,9,0.043084845
10,0.07,180,10,10,10,smtp,0,0.17088656
10,0.07,180,10,10,10,smtp,1,0.087262034
10,0.07,180,10,10,10,smtp,2,0.046891168
10,0.07,180,10,10,10,smtp,3,0.044068143
10,0.07,180,10,10,10,smtp,4,0.040455125
10,0.07,180,10,10,10,smtp,5,0.04362526
10,0.07,180,10,10,10,smtp,6,0.03992126
10,0.07,180,10,10,10,smtp,7,0.046616152
10,0.07,180,10,10,10,smtp,8,0.043755688
10,0.07,180,10,10,10,smtp,9,0.044568893
10,0.07,180,10,10,15,smtp,0,0.20580554
10,0.07,180,10,10,15,smtp,1,0.11573431
10,0.07,180,10,10,15,smtp,2,0.069272496
10,0.07,180,10,10,15,smtp,3,0.03854162
10,0.07,180,10,10,15,smtp,4,0.03283648
10,0.07,180,10,10,15,smtp,5,0.02955345
10,0.07,180,10,10,15,smtp,6,0.018189125
10,0.07,180,10,10,15,smtp,7,0.016760986
10,0.07,180,10,10,15,smtp,8,0.013233083
10,0.07,180,10,10,15,smtp,9,0.012472918
15,0.05,180,10,10,5,smtp,0,0.16692933
15,0.05,180,10,10,5,smtp,1,0.098211
15,0.05,180,10,10,5,smtp,2,0.059722457
15,0.05,180,10,10,5,smtp,3,0.04814549
15,0.05,180,10,10,5,smtp,4,0.043954782
15,0.05,180,10,10,5,smtp,5,0.043499995
15,0.05,180,10,10,5,smtp,6,0.04193704
15,0.05,180,10,10,5,smtp,7,0.042118885
15,0.05,180,10,10,5,smtp,8,0.040551834
15,0.05,180,10,10,5,smtp,9,0.044908877
15,0.05,180,10,10,10,smtp,0,0.17598368
15,0.05,180,10,10,10,smtp,1,0.10883958
15,0.05,180,10,10,10,smtp,2,0.055424746
15,0.05,180,10,10,10,smtp,3,0.04165697
15,0.05,180,10,10,10,smtp,4,0.038256448
15,0.05,180,10,10,10,smtp,5,0.038456783
15,0.05,180,10,10,10,smtp,6,0.028693154
15,0.05,180,10,10,10,smtp,7,0.02388345
15,0.05,180,10,10,10,smtp,8,0.02192015
15,0.05,180,10,10,10,smtp,9,0.016161997
15,0.05,180,10,10,15,smtp,0,0.1739403
15,0.05,180,10,10,15,smtp,1,0.06934806
15,0.05,180,10,10,15,smtp,2,0.05269852
15,0.05,180,10,10,15,smtp,3,0.04933306
15,0.05,180,10,10,15,smtp,4,0.047014393
15,0.05,180,10,10,15,smtp,5,0.04350415
15,0.05,180,10,10,15,smtp,6,0.041085236
15,0.05,180,10,10,15,smtp,7,0.0443365
15,0.05,180,10,10,15,smtp,8,0.040222496
15,0.05,180,10,10,15,smtp,9,0.040418204
15,0.04,180,10,10,5,smtp,0,0.2261376
15,0.04,180,10,10,5,smtp,1,0.13769028
15,0.04,180,10,10,5,smtp,2,0.083880894
15,0.04,180,10,10,5,smtp,3,0.039467316
15,0.04,180,10,10,5,smtp,4,0.0355925
15,0.04,180,10,10,5,smtp,5,0.031780366
15,0.04,180,10,10,5,smtp,6,0.024850897
15,0.04,180,10,10,5,smtp,7,0.023219781
15,0.04,180,10,10,5,smtp,8,0.020626688
15,0.04,180,10,10,5,smtp,9,0.01628928
15,0.04,180,10,10,10,smtp,0,0.15482214
15,0.04,180,10,10,10,smtp,1,0.041990843
15,0.04,180,10,10,10,smtp,2,0.03301358
15,0.04,180,10,10,10,smtp,3,0.032396752
15,0.04,180,10,10,10,smtp,4,0.030345999
15,0.04,180,10,10,10,smtp,5,0.023572478
15,0.04,180,10,10,10,smtp,6,0.02071858
15,0.04,180,10,10,10,smtp,7,0.01813125
15,0.04,180,10,10,10,smtp,8,0.013086911
15,0.04,180,10,10,10,smtp,9,0.010262282
15,0.04,180,10,10,15,smtp,0,0.1504874
15,0.04,180,10,10,15,smtp,1,0.04958745
15,0.04,180,10,10,15,smtp,2,0.049464665
15,0.04,180,10,10,15,smtp,3,0.050586853
15,0.04,180,10,10,15,smtp,4,0.047554974
15,0.04,180,10,10,15,smtp,5,0.04571445
15,0.04,180,10,10,15,smtp,6,0.043070193
15,0.04,180,10,10,15,smtp,7,0.04175718
15,0.04,180,10,10,15,smtp,8,0.041293345
15,0.04,180,10,10,15,smtp,9,0.041709967
15,0.03,180,10,10,5,smtp,0,0.16428792
15,0.03,180,10,10,5,smtp,1,0.096354775
15,0.03,180,10,10,5,smtp,2,0.057984326
15,0.03,180,10,10,5,smtp,3,0.056614462
15,0.03,180,10,10,5,smtp,4,0.052948665
15,0.03,180,10,10,5,smtp,5,0.046580967
15,0.03,180,10,10,5,smtp,6,0.046555784
15,0.03,180,10,10,5,smtp,7,0.04884354
15,0.03,180,10,10,5,smtp,8,0.044492345
15,0.03,180,10,10,5,smtp,9,0.04757153
15,0.03,180,10,10,10,smtp,0,0.10336265
15,0.03,180,10,10,10,smtp,1,0.045977276
15,0.03,180,10,10,10,smtp,2,0.04866765
15,0.03,180,10,10,10,smtp,3,0.04223463
15,0.03,180,10,10,10,smtp,4,0.044357877
15,0.03,180,10,10,10,smtp,5,0.040130515
15,0.03,180,10,10,10,smtp,6,0.040020637
15,0.03,180,10,10,10,smtp,7,0.039630525
15,0.03,180,10,10,10,smtp,8,0.04040058
15,0.03,180,10,10,10,smtp,9,0.03740736
15,0.03,180,10,10,15,smtp,0,0.14092325
15,0.03,180,10,10,15,smtp,1,0.08520207
15,0.03,180,10,10,15,smtp,2,0.04756645
15,0.03,180,10,10,15,smtp,3,0.0423751
15,0.03,180,10,10,15,smtp,4,0.04106928
15,0.03,180,10,10,15,smtp,5,0.03924081
15,0.03,180,10,10,15,smtp,6,0.042567194
15,0.03,180,10,10,15,smtp,7,0.040237077
15,0.03,180,10,10,15,smtp,8,0.04239988
15,0.03,180,10,10,15,smtp,9,0.03746675
15,0.06,180,10,10,5,smtp,0,0.10071739
15,0.06,180,10,10,5,smtp,1,0.057228107
15,0.06,180,10,10,5,smtp,2,0.051190674
15,0.06,180,10,10,5,smtp,3,0.046784632
15,0.06,180,10,10,5,smtp,4,0.04570786
15,0.06,180,10,10,5,smtp,5,0.048973385
15,0.06,180,10,10,5,smtp,6,0.0448341
15,0.06,180,10,10,5,smtp,7,0.042286124
15,0.06,180,10,10,5,smtp,8,0.039989423
15,0.06,180,10,10,5,smtp,9,0.042339902
15,0.06,180,10,10,10,smtp,0,0.20528586
15,0.06,180,10,10,10,smtp,1,0.13286941
15,0.06,180,10,10,10,smtp,2,0.07785752
15,0.06,180,10,10,10,smtp,3,0.046074167
15,0.06,180,10,10,10,smtp,4,0.05029972
15,0.06,180,10,10,10,smtp,5,0.04454692
15,0.06,180,10,10,10,smtp,6,0.044960376
15,0.06,180,10,10,10,smtp,7,0.04355333
15,0.06,180,10,10,10,smtp,8,0.043682493
15,0.06,180,10,10,10,smtp,9,0.042976256
15,0.06,180,10,10,15,smtp,0,0.17827532
15,0.06,180,10,10,15,smtp,1,0.09171952
15,0.06,180,10,10,15,smtp,2,0.05263003
15,0.06,180,10,10,15,smtp,3,0.047263358
15,0.06,180,10,10,15,smtp,4,0.046289615
15,0.06,180,10,10,15,smtp,5,0.042774018
15,0.06,180,10,10,15,smtp,6,0.04110679
15,0.06,180,10,10,15,smtp,7,0.042584017
15,0.06,180,10,10,15,smtp,8,0.036900055
15,0.06,180,10,10,15,smtp,9,0.028786689
15,0.07,180,10,10,5,smtp,0,0.18019061
15,0.07,180,10,10,5,smtp,1,0.12033495
15,0.07,180,10,10,5,smtp,2,0.06642619
15,0.07,180,10,10,5,smtp,3,0.045239523
15,0.07,180,10,10,5,smtp,4,0.0447091
15,0.07,180,10,10,5,smtp,5,0.04113657
15,0.07,180,10,10,5,smtp,6,0.04057575
15,0.07,180,10,10,5,smtp,7,0.040973514
15,0.07,180,10,10,5,smtp,8,0.039446793
15,0.07,180,10,10,5,smtp,9,0.03912063
15,0.07,180,10,10,10,smtp,0,0.15986802
15,0.07,180,10,10,10,smtp,1,0.0840172
15,0.07,180,10,10,10,smtp,2,0.04047171
15,0.07,180,10,10,10,smtp,3,0.04370252
15,0.07,180,10,10,10,smtp,4,0.043271575
15,0.07,180,10,10,10,smtp,5,0.0441695
15,0.07,180,10,10,10,smtp,6,0.0429351
15,0.07,180,10,10,10,smtp,7,0.043307107
15,0.07,180,10,10,10,smtp,8,0.043206945
15,0.07,180,10,10,10,smtp,9,0.042628434
15,0.07,180,10,10,15,smtp,0,0.17718345
15,0.07,180,10,10,15,smtp,1,0.081009276
15,0.07,180,10,10,15,smtp,2,0.055881135
15,0.07,180,10,10,15,smtp,3,0.051106296
15,0.07,180,10,10,15,smtp,4,0.046760615
15,0.07,180,10,10,15,smtp,5,0.05075814
15,0.07,180,10,10,15,smtp,6,0.047573283
15,0.07,180,10,10,15,smtp,7,0.04467997
15,0.07,180,10,10,15,smtp,8,0.048939858
15,0.07,180,10,10,15,smtp,9,0.04596813
20,0.05,180,10,10,5,smtp,0,0.18425646
20,0.05,180,10,10,5,smtp,1,0.12949818
20,0.05,180,10,10,5,smtp,2,0.0769803
