lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,32,100,50,64,10,0.01,CNN,15,0.18333333333333332,0.22,0.2
0.01,32,100,50,64,10,0.01,CNN,20,0.1375,0.22,0.16923076923076924
0.01,64,100,20,64,10,0.1,CNN,8,0.265625,0.33999999999999997,0.2982456140350877
0.01,64,100,20,64,10,0.1,CNN,9,0.2361111111111111,0.33999999999999997,0.27868852459016397
0.01,64,100,20,64,10,0.1,CNN,10,0.2125,0.33999999999999997,0.2615384615384615
0.01,64,100,20,64,10,0.1,CNN,12,0.17708333333333334,0.33999999999999997,0.2328767123287671
0.01,64,100,20,64,10,0.1,CNN,15,0.16346153846153846,0.33999999999999997,0.2207792207792208
0.01,64,100,20,64,10,0.1,CNN,20,0.16346153846153846,0.33999999999999997,0.2207792207792208
0.01,64,100,20,64,10,1,CNN,8,0.21484375,0.2613953488372093,0.23584437780880657
0.01,64,100,20,64,10,1,CNN,9,0.1909722222222222,0.2613953488372093,0.22070216275267218
0.01,64,100,20,64,10,1,CNN,10,0.171875,0.2613953488372093,0.20738703076252138
0.01,64,100,20,64,10,1,CNN,12,0.14322916666666666,0.2613953488372093,0.1850576845936933
0.01,64,100,20,64,10,1,CNN,15,0.14322916666666666,0.2613953488372093,0.1850576845936933
0.01,64,100,20,64,10,1,CNN,20,0.14322916666666666,0.2613953488372093,0.1850576845936933
0.01,64,100,20,64,10,0.01,CNN,8,0.265625,0.33999999999999997,0.2982456140350877
0.01,64,100,20,64,10,0.01,CNN,9,0.2361111111111111,0.33999999999999997,0.27868852459016397
0.01,64,100,20,64,10,0.01,CNN,10,0.2125,0.33999999999999997,0.2615384615384615
0.01,64,100,20,64,10,0.01,CNN,12,0.17708333333333334,0.33999999999999997,0.2328767123287671
0.01,64,100,20,64,10,0.01,CNN,15,0.17708333333333334,0.33999999999999997,0.2328767123287671
0.01,64,100,20,64,10,0.01,CNN,20,0.17708333333333334,0.33999999999999997,0.2328767123287671
0.01,64,100,50,64,10,0.1,CNN,8,0.265625,0.33999999999999997,0.2982456140350877
0.01,64,100,50,64,10,0.1,CNN,9,0.2361111111111111,0.33999999999999997,0.27868852459016397
0.01,64,100,50,64,10,0.1,CNN,10,0.2125,0.33999999999999997,0.2615384615384615
0.01,64,100,50,64,10,0.1,CNN,12,0.17708333333333334,0.33999999999999997,0.2328767123287671
0.01,64,100,50,64,10,0.1,CNN,15,0.16346153846153846,0.33999999999999997,0.2207792207792208
0.01,64,100,50,64,10,0.1,CNN,20,0.16346153846153846,0.33999999999999997,0.2207792207792208
0.01,64,100,50,64,10,1,CNN,8,0.400390625,0.47273255813953485,0.4335646746447425
