lr,threshold,precision,recall,fmeasure
0.001,0.66,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.001,0.67,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.001,0.68,0.09228441754916793,1.0,0.16897506925207756
0.001,0.69,0.09174311926605505,0.9836065573770492,0.1678321678321678
0.001,0.7,0.09190974133186572,0.912568306010929,0.167
0.001,0.71,0.09173387096774194,0.994535519125683,0.16797415782187355
0.001,0.72,0.08982035928143713,0.08196721311475409,0.0857142857142857
0.001,0.73,0.09168765743073048,0.994535519125683,0.1678966789667897
0.001,0.74,0.0911869587366276,0.9781420765027322,0.1668219944082013
0.001,0.75,0.0900562851782364,0.26229508196721313,0.1340782122905028
0.001,0.76,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.001,0.77,0.09147286821705426,0.9672131147540983,0.1671388101983003
0.001,0.78,0.09109624292331446,0.9672131147540983,0.1665098777046096
0.001,0.79,0.09350649350649351,0.19672131147540983,0.1267605633802817
0.001,0.8,0.0919661733615222,0.9508196721311475,0.16771084337349396
0.001,0.81,0.09154929577464789,0.9234972677595629,0.16658452439625432
0.001,0.82,0.09076262083780881,0.9234972677595629,0.16528117359413202
0.001,0.83,0.09192944949225014,0.9398907103825137,0.16747809152872445
0.001,0.84,0.09173333333333333,0.9398907103825137,0.1671525753158406
0.001,0.85,0.08974358974358974,0.03825136612021858,0.05363984674329502
0.001,0.86,0.11079545454545454,0.21311475409836064,0.14579439252336446
0.001,0.87,0.10071942446043165,0.30601092896174864,0.15155615696887687
0.001,0.88,0.09130672498633133,0.912568306010929,0.16600397614314114
0.001,0.89,0.09190974133186572,0.912568306010929,0.167
0.001,0.9,0.07142857142857142,0.01092896174863388,0.018957345971563982
0.001,0.91,0.09268292682926829,0.9344262295081968,0.16863905325443787
0.001,0.92,0.09258256632376827,0.9344262295081968,0.16847290640394086
0.001,0.93,0.09209100758396534,0.9289617486338798,0.16757023164120258
0.001,0.94,0.05555555555555555,0.01639344262295082,0.02531645569620253
0.001,0.95,0.09190371991247265,0.6885245901639344,0.16216216216216214
0.001,0.96,0.12121212121212122,0.13114754098360656,0.1259842519685039
0.001,0.97,0.08333333333333333,0.01639344262295082,0.0273972602739726
0.001,0.98,0.07407407407407407,0.01092896174863388,0.019047619047619046
0.001,0.99,0.1388888888888889,0.0273224043715847,0.045662100456621
0.01,0.5,0.09131961866532864,0.994535519125683,0.16727941176470587
0.01,0.51,0.09115572436245252,0.9180327868852459,0.16584402764067127
0.01,0.52,0.09163745618427642,1.0,0.16788990825688077
0.01,0.53,0.09163745618427642,1.0,0.16788990825688077
0.01,0.54,0.09168336673346693,1.0,0.1679669573198715
0.01,0.55,0.09163745618427642,1.0,0.16788990825688077
0.01,0.56,0.09180868609125893,0.912568306010929,0.16683316683316685
0.01,0.57,0.0893854748603352,0.08743169398907104,0.08839779005524862
0.01,0.58,0.0915915915915916,1.0,0.16781292984869325
0.01,0.59,0.09234828496042216,0.9562841530054644,0.16843118383060635
0.01,0.6,0.09186746987951808,1.0,0.16827586206896553
0.01,0.61,0.09164149043303121,0.994535519125683,0.1678192715537114
0.01,0.62,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.01,0.63,0.09159536990437846,0.994535519125683,0.16774193548387095
0.01,0.64,0.09302325581395349,0.08743169398907104,0.09014084507042255
0.01,0.65,0.09152719665271966,0.9562841530054644,0.16706443914081145
0.01,0.66,0.08583690987124463,0.6557377049180327,0.15180265654648956
0.01,0.67,0.09164149043303121,0.994535519125683,0.1678192715537114
0.01,0.68,0.09155313351498638,0.9180327868852459,0.16650148662041628
